GAME_ID	DATE	HOME_TEAM	AWAY_TEAM	HOME_SCORE	AWAY_SCORE	GAME_TYPE
1	4/13/13	FC Kansas City	Portland Thorns FC	1	1	Regular Season
2	4/14/13	Chicago Red Stars	Seattle Reign FC	1	1	Regular Season
3	4/14/13	Sky Blue FC	Western New York Flash	1	0	Regular Season
4	4/14/13	Boston Breakers	Washington Spirit	1	1	Regular Season
5	4/20/13	Washington Spirit	Western New York Flash	1	1	Regular Season
6	4/21/13	Portland Thorns FC	Seattle Reign FC	2	1	Regular Season
7	4/26/13	FC Kansas City	Seattle Reign FC	2	0	Regular Season
8	4/27/13	Washington Spirit	Sky Blue FC	1	2	Regular Season
9	4/27/13	Chicago Red Stars	Portland Thorns FC	0	2	Regular Season
10	4/27/13	Western New York Flash	Boston Breakers	1	2	Regular Season
11	5/1/13	Western New York Flash	Sky Blue FC	2	1	Regular Season
12	5/4/13	Boston Breakers	Chicago Red Stars	4	1	Regular Season
13	5/4/13	Washington Spirit	Portland Thorns FC	1	2	Regular Season
14	5/4/13	Seattle Reign FC	FC Kansas City	0	1	Regular Season
15	5/8/13	Sky Blue FC	Chicago Red Stars	1	1	Regular Season
16	5/11/13	Washington Spirit	Boston Breakers	1	1	Regular Season
17	5/11/13	Sky Blue FC	Seattle Reign FC	2	0	Regular Season
18	5/11/13	Western New York Flash	FC Kansas City	2	1	Regular Season
19	5/12/13	Chicago Red Stars	Portland Thorns FC	0	2	Regular Season
20	5/16/13	Seattle Reign FC	Washington Spirit	2	4	Regular Season
21	5/16/13	Portland Thorns FC	Sky Blue FC	0	1	Regular Season
22	5/18/13	FC Kansas City	Boston Breakers	2	0	Regular Season
23	5/19/13	Portland Thorns FC	Washington Spirit	2	0	Regular Season
24	5/19/13	Seattle Reign FC	Sky Blue FC	0	3	Regular Season
25	5/24/13	Western New York Flash	Chicago Red Stars	2	1	Regular Season
26	5/25/13	Boston Breakers	Washington Spirit	3	0	Regular Season
27	5/25/13	Seattle Reign FC	Portland Thorns FC	0	1	Regular Season
28	5/25/13	FC Kansas City	Sky Blue FC	0	1	Regular Season
29	6/1/13	Portland Thorns FC	Chicago Red Stars	0	2	Regular Season
30	6/1/13	Sky Blue FC	Boston Breakers	5	1	Regular Season
31	6/5/13	Boston Breakers	Western New York Flash	2	2	Regular Season
32	6/6/13	Portland Thorns FC	FC Kansas City	4	3	Regular Season
33	6/8/13	Sky Blue FC	Western New York Flash	0	3	Regular Season
34	6/9/13	Chicago Red Stars	Boston Breakers	1	0	Regular Season
35	6/9/13	Seattle Reign FC	FC Kansas City	0	1	Regular Season
36	6/13/13	Chicago Red Stars	FC Kansas City	0	2	Regular Season
37	6/15/13	Washington Spirit	Western New York Flash	0	2	Regular Season
38	6/16/13	Portland Thorns FC	Seattle Reign FC	2	0	Regular Season
39	6/16/13	FC Kansas City	Chicago Red Stars	1	3	Regular Season
40	6/16/13	Boston Breakers	Sky Blue FC	2	3	Regular Season
41	6/19/13	Chicago Red Stars	Western New York Flash	2	2	Regular Season
42	6/22/13	Sky Blue FC	Portland Thorns FC	0	0	Regular Season
43	6/23/13	FC Kansas City	Washington Spirit	2	0	Regular Season
44	6/23/13	Western New York Flash	Seattle Reign FC	1	1	Regular Season
45	6/26/13	Boston Breakers	Seattle Reign FC	1	2	Regular Season
46	6/26/13	Sky Blue FC	FC Kansas City	2	2	Regular Season
